VisitorID,Visits,PageViews,Hits,TotalHits,HitNumber,a_diffdays_latest,a_diffdays_oldest,Device,Sistema,Morning Visits,DaytimeVisits,Evening Visits,Midnight Visits,Goal1,Goal2,Goal3,Conversion
229,1,1,2,2,1,36,36,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
230,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,1,0,0,FALSE
231,2,3,5,85,2,36,42,DESKTOP,WINDOWS,1,1,0,0,0,0,0,FALSE
232,1,1,2,2,1,36,36,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
233,1,1,2,6,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
234,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
235,1,1,2,3,1,36,36,TABLET,IOS,0,0,1,0,0,0,0,FALSE
236,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
237,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
238,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
239,1,2,3,135,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
240,3,3,9,2,3,36,37,DESKTOP,WINDOWS,0,1,2,0,2,0,0,FALSE
241,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
242,1,1,2,1,1,36,36,TABLET,WINDOWS,0,1,0,0,0,0,0,FALSE
243,1,1,2,2,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
244,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
245,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
246,1,2,4,76,3,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
247,1,1,2,2,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
248,1,1,2,3,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
249,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,0,0,1,0,0,0,FALSE
250,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,1,0,FALSE
251,1,1,2,2,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
252,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
253,1,1,2,3,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
254,3,4,7,32,3,1,36,DESKTOP,WINDOWS,0,3,0,0,0,0,0,TRUE
255,1,1,2,2,1,36,36,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
256,1,1,2,2,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
257,2,2,6,4,4,36,36,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
258,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,1,0,0,FALSE
259,1,1,2,3,1,36,36,DESKTOP,WINDOWS,1,0,0,0,0,0,0,FALSE
260,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
261,2,2,4,2,2,35,36,DESKTOP,MAC-OS,0,1,1,0,0,0,0,FALSE
262,1,2,4,396,3,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
263,1,1,2,3,1,36,36,DESKTOP,WINDOWS,0,0,1,0,0,0,0,FALSE
264,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
265,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
266,3,9,18,5460,9,36,36,DESKTOP,Linux,0,3,0,0,0,0,0,FALSE
267,2,4,8,58,4,36,36,DESKTOP,WINDOWS,0,2,0,0,0,0,0,FALSE
268,1,1,2,1,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
269,1,1,2,2,1,36,36,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
270,1,1,2,1,1,22,22,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
271,1,1,2,1,1,22,22,DESKTOP,WINDOWS,0,1,0,0,0,0,0,TRUE
272,1,1,2,1,1,22,22,DESKTOP,WINDOWS,0,1,0,0,0,0,0,FALSE
